date,start_time,open,high,low,close,volume,end_time,volume_usd,n_trades,taker_volume,taker_volume_usd
2020-06-18,1592352000000,235.22,237.5,227.47,233.75,1098414.164,1592438399999,255862428.97339,321599,521069.103,121490164.02645
2020-06-19,1592438400000,233.73,234.7,227.81,231.26,722224.653,1592524799999,167276182.33834,255571,326354.777,75633704.10627
2020-06-20,1592524800000,231.26,232.0,226.02,228.97,875231.698,1592611199999,200700324.69961,269891,433401.873,99415769.3718
2020-06-21,1592611200000,228.98,230.8,225.07,228.85,690552.179,1592697599999,157633384.57489,214484,334275.181,76352238.61649
2020-06-22,1592697600000,228.84,231.4,227.06,228.08,480312.941,1592783999999,110256923.45852,185644,235580.859,54110660.2194
2020-06-23,1592784000000,228.07,247.0,227.5,243.14,1580083.705,1592870399999,377318824.05754,417611,840978.763,200701483.32696
2020-06-24,1592870400000,243.13,244.9,240.7,243.12,880274.162,1592956799999,213875470.03441,254457,421826.829,102514856.57013
2020-06-25,1592956800000,243.13,249.41,231.0,234.54,1872960.153,1593043199999,448953617.37941,482217,880381.75,211029710.96994
2020-06-26,1593043200000,234.54,235.5,227.53,232.5,1051198.67,1593129599999,244330169.1645,400908,510650.708,118734661.87216
2020-06-27,1593129600000,232.5,233.65,227.67,229.66,1096114.911,1593215999999,252514561.81677,413927,524199.635,120793668.78178
2020-06-28,1593216000000,229.65,231.4,213.59,220.94,1316665.336,1593302399999,294859175.09059,377007,624816.848,139960440.38606
2020-06-29,1593302400000,220.95,227.9,217.81,224.96,967586.374,1593388799999,216318637.93915,317233,502465.172,112349341.22079
2020-06-30,1593388800000,224.93,230.13,221.11,227.95,1101723.749,1593475199999,247970501.55192,353417,560731.204,126294756.2583
2020-07-01,1593475200000,227.95,228.73,223.0,225.56,843327.995,1593561599999,190512620.41264,282693,402687.751,90995126.37601
2020-07-02,1593561600000,225.56,232.78,224.01,231.03,980442.364,1593647999999,224106226.5533,304623,522030.769,119352111.57668
2020-07-03,1593648000000,231.02,231.99,222.76,226.54,1305858.588,1593734399999,297251172.93531,413390,620572.471,141280024.34981
2020-07-04,1593734400000,226.54,228.17,224.11,224.83,579175.291,1593820799999,131241028.78854,249631,274446.475,62224101.27991
2020-07-05,1593820800000,224.82,230.77,224.31,229.2,534507.407,1593907199999,121465137.44154,221319,288190.484,65509881.10106
2020-07-06,1593907200000,229.21,229.88,223.26,227.61,681239.534,1593993599999,154164268.13412,235460,329375.424,74563286.29365
2020-07-07,1593993600000,227.61,242.32,226.89,241.63,1361794.882,1594079999999,320359855.27586,380449,726080.676,170747488.86006
